Job Title,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,company_txt,age,python,R,spark,aws,excel,SQL
Data Scientist / Data Engineer,"Information on the current situation COVID-19: Your application will continue to be processed as usual by our recruiting team. All interviews take place by video call or by phone.

This is what you'll do:

Build data pipelines that feed both the development and deployment of machine learning models
Design and develop conceptual data models for integrating, exploring, and retrieving data from heterogeneous data sources and systems
Implement and manage ETL processes, data transformations, data flows and service APIs
Work with data virtualization, integration, and analytics technologies
Implement optimized data representations (views) and aggregations from multiple data sources
Select features, build and optimize classifiers using machine learning techniques

This is what you'll bring to us:

Degree in computer science, mathematics, statistics or in a related field
Experience in data visualization using open source and commercial tools (Tableau/Power BI)
Deep interest in data science and the development of machine learning models
Strong experience with Python, and its common machine learning libraries
Very good knowledge of database fundamentals
Keen interest in data science and its applications
Knowledge of a variety of machine learning techniques (clustering, decision tree learning, artificial neural networks, etc.) and their real-world advantages/drawbacks
English communication skills (spoken & written)

This is what we offer:

Responsibility and decision-making authority from your first day
The opportunity to work on challenging tasks that contribute to your professional growth
Work independently and as part of a dedicated, international team
The opportunity to help shape our company culture
Make an impact initiating new ideas
Work with and learn from experts in diverse fields
Get to know your team members at our exciting company events

This is who we are:

We are Emma – The Sleep Company. We disrupt sleep by pushing the boundaries of what technology can do for rest. Our aim is to make a positive impact on people’s lives everywhere by enhancing their sleep.

We are one of Europe’s fastest-growing tech startups with 400+ team members representing over 40 nationalities at our headquarters in Frankfurt am Main, Germany.

Our work culture is built on strong values promoting community, agility, and ownership. Growth and excellence in all areas are important to us, which is why we offer our team members opportunities to develop and advance professionally and personally.

Emma proudly celebrates diversity. We are an equal opportunity employer committed to promoting inclusion in our workplace. We consider all qualified applicants for employment without regard to race, ethnic origin, religion or belief, gender, gender identity or expression, sexual orientation, national origin, disability or age.

Sound interesting?

Then apply through our candidate portal via the button provided below for a chance to become a member of our magnificent team! In order to get to know each other as soon as possible, please send us your full application (letter of motivation, desired salary, curriculum vitae and your grades).

Your contact person is Gabriela from the People & Organization team. If you have any questions regarding the application process, give us a call at +49 69 / 989 723 303

We are looking forward to your application!",4.2,"Bettzeit GmbH
4.2",Frankfurt,-1,201 to 500 Employees,2013,Company - Private,Manufacturing,Consumer Products Manufacturing,$100 to $500 million (USD),"Bettzeit GmbH
",7,1,0,0,0,1,0
Data Scientist,"Data Scientist


The Oerlikon Digital Hub in Munich is the trailblazer and catalyst of digital transformation in Oerlikon. We design, advise and implement digital, innovative solutions for our company and customers. We are engineering the future, together with internal and external communities, by bringing new ways of thinking, next generation digital skills and strong ecosystem of partners and experts, to build the solutions of tomorrow. It’s the place to be for those who want to build the new digital world, within and around Oerlikon. We offer a highly collaborative, global environment as a technology leader in several key industries. What makes things even more interesting is the combination of a startup dynamic in an established, stock market listed corporation. This opens the door to exciting personal development programs and long term perspectives for our employees.

By joining our team, you can leave your footprints on our journey towards remaining the world leading competence in our areas of business. In collaboration with other Data Scientists, Data Engineers and Business Experts you shape our customer experience by further improving our products, services and communication through analytical insights.

Responsibilities
Employ advanced analytics and statistical methods to prepare and analyze data for predictive modeling
Define KPIs and select analytical approaches and to drive business decisions at scale
From prototypes to solutions in production; bring ideas to life
Prepare reports and presentations for relevant stakeholders that will give insights for departmental as well as business wide decision making
Ongoing maintenance of (statistical) models; monitoring, optimizing and extending of statistical models at scale
Your Profile
Master degree in a quantitative field (econometrics, mathematics, statistics, physics, computer science or related subjects)
Experience with established data manipulation and data science languages (SQL and Python / R)
Strong Machine Learning background and familiarity with machine learning frameworks/math toolkits: Scikit-learn, NumPy, Pandas, etc.
Familiar with big data processing concepts like MapReduce and tools like Spark (SparkML, pySpark)
Experience with project management tools like GIT, Jira, Confluence
Excellent communication skills with different business units in English, german is beneficial
We offer
Opportunity to design the faces of our products
Independent and versatile tasks
Varied work area with high personal responsibility
Social and progressive employment conditions
A startup environment, with the opportunity to build the next chapter of our company
Are you ready for some new data and you want a place where you can let your creativity roll? Then we are a perfect match. You like working on projects and feel like a top talent who can gather all information and provide relevant insights? – we should have definitely a chat. And for any further questions, feel free to get in touch with me.

Robin Derichs
Recruiter EMEA
Phone: +49 6142 6033 281
www.oerlikon.com/career

About us


Oerlikon innovations are the foundation of industrial solutions to some of the 21st century’s greatest challenges: from saving lives to saving the planet. Yes, we’re that ambitious.

Now imagine the caliber of performance we’re pursuing with our digital transformation roadmap. To achieve maximum impact, we’re establishing a Digital Hub in Munich. And we’re recruiting exceptional people to join the founding team. Top talents who can flex their entrepreneurial muscles and conquer complex mathematical and analytical challenges. Professionals who thrive in a start-up environment but appreciate access to decision makers in an established organization. Supercharged performers with original ideas and a clear vision of the future.

As a member of our team, you’ll make your mark on rapidly evolving technologies such as materials science and additive manufacturing. On sectors as diverse as aviation, automotive, medicine, energy, and manufacturing. And on a visionary company that wants to integrate your vision into its future.

*CA",3.2,"OC Oerlikon Corporation AG
3.2",Feldkirchen,-1,10000+ Employees,1907,Company - Public,Manufacturing,Industrial Manufacturing,$2 to $5 billion (USD),"OC Oerlikon Corporation AG
",113,1,0,1,0,1,1
"W 3 - Professur Allgemeine Betriebswirtschaftslehre, insbesondere Data Science","Die ESB Business School der Hochschule Reutlingen ist eine der führenden Fakultäten für internationale Betriebswirtschaftslehre und Wirtschaftsingenieurwesen in Deutschland. Die seit über 40 Jahren etablierten internationalen Doppelabschlüsse, die Kooperation mit internationalen Partneruniversitäten und Studierende aus der ganzen Welt sowie die enge Vernetzung mit Unternehmenspartnern prägen unsere Studienprogramme. Seit 2019 ist die ESB Business School zudem von der AACSB akkreditiert. Auch in der angewandten Forschung belegt die HS Reutlingen regelmäßig einen führenden Platz in Baden-Württemberg.

In der Fakultät ESB Business School ist zum Winterersemester 2021/2022 oder später folgende Professur zu besetzen:

W 3 - Professur
Lehr- und Forschungsgebiet:
Allgemeine Betriebswirtschaftslehre, insbesondere Data Science
(Kennziffer 065/2020)

Die inhaltlichen Schwerpunkte der Professur liegen auf der Anwendung moderner Datenanalyse zur Beantwortung von Fragestellungen in der betriebswirtschaftlichen Praxis. Wir suchen daher Kandidat*innen mit nachgewiesenen fundierten theoretischen und praktischen Kenntnissen entlang der Datenwertschöpfung (Datenbeschaffung, -verständnis, -vorbereitung, -modellierung, - analyse und in die betriebliche Praxis umsetzbare Ergebnisse). Wir erwarten Kenntnisse in State-of-the-Art Technologien zur Analyse von strukturierten und unstrukturierten Datenmengen.

Zur Stärkung der angewandten Forschung wird Engagement beim Aufbau eines eigenen Forschungsschwerpunktes, die Einwerbung kompetitiver Drittmittel und die Bereitschaft zur interdisziplinären Zusammenarbeit in Projekten mit Anwendungsbezug erwartet. Die Professur soll die Kompetenzen im Fachbereich und der Forschungsgruppe Digitalisierung und Management sowie die Zusammenarbeit mit (regionalen) Unternehmen stärken.

Die ausgeschriebene Professur ist dem Studiengangsteam „International Management“ zugeordnet und soll insbesondere zur Weiterentwicklung der Studienprogramme „BSc International Management“, „MSc Global Management and Digital Competencies“, „MA European Management Studies“ sowie zu den MBA-Programmen beitragen. Hierbei sind auch Vorlesungen in englischer Sprache sowie in Grundlagenfächern (z. B. Quantitative Methoden) abzuhalten.

Genauso wichtig wie die intensive Betreuung der Studierenden und das Engagement in der Forschung und Lehre ist auch die Bereitschaft zur Mitarbeit in der Selbstverwaltung der Fakultät sowie im Ausbau und der Pflege des Unternehmensnetzwerkes. Die Professur setzt daher eine hohe Präsenz an der Hochschule voraus.

Zusätzlich erwarten wir:

wissenschaftliche Vorerfahrung, nachzuweisen durch entsprechende Publikationen, wiss. Vorträge, Patente, Projekte oder bereits abgeschlossene oder sich in Arbeit befindliche Fallanwendungen
sehr gute didaktische Fähigkeiten, insbesondere im Umgang mit heterogenen Lehrsituationen
sehr gute Englischkenntnisse in Wort und Schrift

Von Vorteil sind darüber hinaus Erfahrungen in folgenden Bereichen:

Einwerbung von Drittmitteln
Arbeiten im internationalen Kontext

Allgemeine Hinweise: Informationen zu den Einstellungsvoraussetzungen, zur Besoldung und zu Dual Career finden Sie unter http://karriere.reutlingen-university.de. Die Hochschule Reutlingen strebt eine Erhöhung des Anteils von Frauen bei wissenschaftlichem Personal an und fordert deshalb qualifizierte Frauen auf, sich zu bewerben. Bewerberinnen und Bewerber können sich mit der Gleichstellungsbeauftragten in Verbindung setzen (gleichstellung(at)reutlingen-university.de). Schwerbehinderte Menschen werden bei gleicher Eignung bevorzugt berufen.

Ansprechpartner: Herr Prof. Dr. Clemens van Dinther
E-Mail für Rückfragen: clemens.van_dinther(at)reutlingen-university.de

Wir haben Ihr Interesse geweckt?

Dann freuen wir uns auf Ihre Bewerbung mit den üblichen Unterlagen bis zum 21.09.2020 über unser Online-Bewerbungsportal unter http://karriere.reutlingen-university.de.
Bewerbungen per Post oder E-Mail können nicht berücksichtigt werden.",3.7,"Reutlingen University
3.7",Reutlingen,-1,201 to 500 Employees,-1,College / University,Education,Colleges & Universities,Less than $1 million (USD),"Reutlingen University
",-1,0,0,0,0,0,0
Senior Data Scientist / Software Entwickler für KI (m|w|d),"Qualität, Effizienz und Innovationskraft sind die Stärken der MTU Maintenance. Damit hat sich das global agierende Unternehmen zum weltweit größten unabhängigen Instandhalter ziviler Triebwerke entwickelt. Das Leistungsspektrum der MTU Maintenance Hannover und ihrer 2.100 Mitarbeiter reicht von der Reparatur und Überholung ziviler Flugantriebe über die Teilereparatur bis hin zum Service für Anbaugeräte. Komplettiert wird das Portfolio durch individuelle Triebwerksleasingangebote. Werden auch Sie Teil unseres engagierten Teams in Langenhagen als

Senior Data Scientist / Software Entwickler für KI (m|w|d)
Kennziffer - FIRH

Ihr Aufgabengebiet:
Sie entwickeln Software für den Bereich der Triebwerkswartung (z. B. zur intelligenten Flottenplanung oder der Predictive Maintenance)
In enger Zusammenarbeit mit dem Fachbereich und der Zentral-IT setzen Sie in einem standort-übergreifenden Team Systeme unter Anwendung agiler Entwicklungsmethoden von der Anforderung bis zur produktiven Nutzung um
Zusammen mit den Spezialisten aus der Triebwerkswartung identifizieren Sie Potenziale für Digitalisierung, erarbeiten Spezifikationen und überführen diese in die Anwendung
Sie formulieren die Entwicklungsaufgaben anhand von Userstories und besprechen sie im Entwicklerteam
In DevOps-Manier sind Sie in den Betrieb eingebunden und unterstützen bei kurzfristigen Anpassungen im Rahmen von Triebwerks-Wartungskampagnen

Ihr berufliches Know-how:
Sie haben ein abgeschlossenes Studium (Bachelor / Master) der Informatik oder einer verwandten Fachrichtung (Natur- / Ingenieurswissenschaft) bzw. eine vergleichbare Berufsausbildung
Sie haben Kenntnisse in statistischen Methoden und Algorithmen im Bereich der Optimierung, dem maschinellen Lernen oder der Datenanalyse (z. B. MC Tree Search, neuronale Netze)
Sie haben Erfahrungen in der Umsetzung von KI-/Datenanalyse-Projekten im Industrieumfeld
Sie sind mit den einschlägigen Entwicklungswerkzeugen wie z. B. Eclipse, JIRA, Jenkins vertraut
Sie haben eine hohe Eigeninitiative und Durchsetzungsvermögen, ausgeprägte Teamfähigkeit, übergreifendes aufgaben- und prozessorientiertes Denken und Handeln sowie analytisches Denkvermögen
Sie besitzen gute Kommunikations- und Präsentationsfähigkeiten
Sie sind in der Lage, sich in deutscher und englischer Sprache zu verständigen

In Zeiten der Digitalisierung setzen wir bei MTU auf innovative IT-Lösungen, um die Wettbewerbsfähigkeit unseres Unternehmens weiter auszubauen. Im Bereich der Maintenance entwickelt ein funktionsübergreifendes Team von Wartungs-, IT- und Vertriebsexperten digitale Lösungen. Dabei optimiert das Team die Triebwerkswartung mittels Anwendung von smarten Optimierungsverfahren sowie Datenanalysen und sorgt im unabhängigen Instandhaltungsgeschäft für nachhaltiges Wachstum des Unternehmens. Werden Sie Teil unseres engagierten und motivierten Teams.

Wir investieren mit einem umfangreichen Weiterbildungsangebot und maßgeschneiderten Entwicklungsprogrammen in die fachliche und persönliche Entwicklung eines jeden Mitarbeiters.
Wir bieten Ihnen eine Reihe von Zusatzleistungen, die ganz auf Ihre Bedürfnisse abgestimmt sind: Eine zeitgerechte Altersversorgung gehört für uns ebenso dazu wie Maßnahmen zur Vereinbarkeit von Familie und Beruf, zum Beispiel mit unseren flexiblen Arbeitszeitmodellen oder der Möglichkeit zur Einrichtung von Telearbeitsplätzen. Die Gesundheit unserer Mitarbeiter fördern wir durch unsere betriebseigene Kantine sowie durch die Kooperation mit vielen Fitnessstudios in der Region.

Unser Personalmanager Matthias Jaeger gibt Ihnen gerne noch einige Tipps zu Ihrer Bewerbung:

https://www.whatchado.com/de/embeds/videos/mtu-maintenance-hannoverrecruitervideomatthias-jaeger",3.9,"MTU Aero Engines Holding AG
3.9",Hannover,-1,10000+ Employees,1934,Company - Public,Manufacturing,Electrical & Electronic Manufacturing,$2 to $5 billion (USD),"MTU Aero Engines Holding AG
",86,0,0,0,0,0,0
DATA SCIENTIST (m/w/d) in Munich,"What to expect*
We are looking for an experienced Data Scientist to join our ambitious and growing Data Intelligence Team. In this role you will leverage your strong passion for understanding and modeling complex medical data to gain new insights and push the boundaries of software-supported medical procedures.
As a Data Scientist, you will*
develop a deep understanding for medical data from multiple sources, including images, patient demographics, and treatment information
design, train and optimize algorithms to solve challenging data modeling tasks, thereby combining various data types in innovative ways
make use of state-of-the-art machine learning methods to extract information from big and diverse data sets
work together with clinical experts in order to identify relevant questions, challenge your findings and evaluate their impact on real-world medical environments
What you offer*
Education in mathematics, physics, computer science or similar
Profound experience in modeling complex data, ideally in the medical field
Strong analytical, mathematical background and interest, allowing you to understand modern machine learning methods in all their details and making you eager to adapt and further develop these methods in your daily work
Ideally, experience in image processing
Strong background in using the Python ecosystem for efficient prototyping of your ideas, combined with a passion for and initial experience in (object-oriented) programming
Eagerness to be part of a high-skilled, dynamic team where your talent is both challenged and supported
Fluency in English, some knowledge of German (or willingness to learn) is a plus
What we offer*
Centrally located, modern work spaces
30 days of vacation, plus 24.12. and 31.12.
Flexible working hours
Free gym courses with showers and changing rooms
Secure bicycle storage room
Unlimited coffee, tea and bottled water
Restaurant and coffee shop on-site
Regular after-work, team & company events
Sheltered terrace on the Bavarian Towers
International team of supportive colleagues
Comprehensive training and continuing education opportunities
Interested? Then we are looking forward to receiving your online application!

Contact person: Géraldine Endres

Job Types: Full-time, Permanent

Schedule:
Monday to Friday
Work Remotely:
Temporarily due to COVID-19",-1.0,Snke OS,Deutschland,-1,-1,-1,-1,-1,-1,-1,Snke OS,-1,1,0,0,0,0,0
Data Engineer (m/w/d),"Wir sind ein dynamisches, wachsendes Team mit vielen spannenden Projekten am Puls der Zeit und suchen Verstärkung.
Ihre Aufgaben: *
Soll/Ist-Analyse und technische Konzeption von Data Warehouse-Projekten
Soll/Ist-Analyse und technische Konzeption von CRM-Projekten
Umsetzung von Projekten für unsere Kunden zur Einführung von Data-Warehouse-Systemen und Datenvisualisierungssystemen mit Tableau und/oder Talend
Umsetzung von ETL-Strecken zur Datenintegration mit Talend
Ansprechpartner für den Kunden bis zur Inbetriebnahme, Einführung der Systeme, Kundenbetreuung und Weiterentwicklung auch nach Livestellung
Ihr Profil*
Abgeschlossenes Studium der (Wirtschafts-)Informatik, Betriebswirtschaftslehre oder vergleichbare, abgeschlossene Ausbildung (z.B. Fachinformatiker)
Sehr gutes Verständnis von Daten und Datenbanksystemen aller Art
mind. 2 Jahre Berufserfahrung im Daten-Umfeld
Sehr gute Kenntnisse in Talend
Kenntnisse in modernen technischen Konzepten wie Web Services / SOA / Data Vault
Über uns: *
atlantis media ist ein Dienstleister, der sich auf die Digitalisierung von Geschäftsprozessen und die Umsetzung moderner E-Commerce-Systeme spezialisiert hat. 1994 in Hamburg gegründet, realisiert das Unternehmen mithilfe agiler Methoden heute anspruchsvolle Softwarelösungen für B2B- und B2C-Kunden. Bei der Entwicklung und Umsetzung von Onlineshops, Webapplikationen und Business-Intelligence-Lösungen kommt der Agentur neben ihrer langjährigen Erfahrung auch ihr großes interdisziplinäres Know-how und die Fähigkeit zugute, jederzeit den Überblick über verschiedene Geschäftsbereiche und deren Zusammenspiel zu behalten.

Als offizieller Partner von SAP, Shopware, SugarCRM, Tableau sowie Talend und als Mitglied der Magento- und TYPO3-Association unterstützt atlantis media Unternehmen bei der bedarfsgerechten Auswahl und agilen Einbindung von Applikationen in vorhandene IT-Landschaften. Das erfahrene Team betreut digitale Projekte ganzheitlich; dabei zählen Kundenzufriedenheit, Teamgeist, Transparenz und Verlässlichkeit zu den zentralen Werten der Digitalisierungsexperten. Zu den Kunden von atlantis media gehören unter anderen CTS EVENTIM Sports, found4you.de, imcopex Office Supplies, Jungheinrich, Mercateo, Pöppelmann und REYHER.

Zusätzliche Leistungen:
Flexible Arbeitszeiten
Home Office
Betriebliche Altersvorsorge
Kostenlose Getränke
Kostenloses oder vergünstigtes Essen
Bonus
Weiterbildung
Erfolgsbeteiligung
Art der Stelle: Vollzeit, Festanstellung

Berufserfahrung:
Data Engineering: 2 Jahre (Erforderlich)
Sprache:
Deutsch (Erforderlich)",-1.0,atlantis media GmbH,Hamburg,-1,-1,-1,-1,-1,-1,-1,atlantis media GmbH,-1,0,0,0,0,0,0
Data Scientist,"Ihre Aufgaben
Sie erarbeiten im Dialog mit unseren Kunden innovative Lösungen zur anspruchsvollen Datenanalyse.
Sie entwickeln und integrieren explorative Analysen und Modelle zur Optimierung von Geschäftsprozessen.
Sie führen anspruchsvolle Beratungs- und Entwicklungsprojekte durch, bei denen Analytik und Informatik gewinnbringend kombiniert werden.

Ihre Fähigkeiten
Sehr guten Studienabschluss der Informatik, Mathematik, Physik oder vergleichbarer Studiengänge
Kenntnisse in mindestens einer analytischen Programmiersprache (z.B. R, Python, Matlab) sowie in mindestens einer universellen Programmiersprache (z.B. .NET, C#, Java, C)
Erfahrungen mit Data Mining-Software (z.B. Weka, Knime, Tensorflow, Scikit-learn) sind ein Plus
Ein weiteres Plus sind Erfahrungen mit aktuellen Cloud-Technologien oder dem Hadoop/Spark-Ökosystem
Ausgeprägte Dialogfähigkeit in Deutsch und Englisch – im Team und Kunden gegenüber
Neugierde und Bereitschaft zu gelegentlichen Reisen

Unser Angebot
Faktor „Mensch“: Profitieren Sie von einer gelebten Work-Life-Balance und engagierten Kollegen.
Spannende Projekte: Ihre Fähigkeiten und Ideen bringen Sie in vielfältigen Projekten unter Einsatz verschiedenster Technologien ein.
Konstante Fortbildung: Sie erhalten viel Raum zur Weiterbildung und zum Wissensaustausch.

Jetzt bewerben!


Senden Sie Ihre Unterlagen an:

bewerbung@analytical-software.de

Wir freuen uns auf Sie!",-1.0,HMS Analytical Software GmbH,Heidelberg,-1,51 to 200 Employees,-1,Company - Private,-1,-1,Less than $1 million (USD),HMS Analytical Software GmbH,-1,1,0,1,0,0,0
Data Scientist,"About Railsbank

Railsbank is the world’s leading global open banking platform that gives customers “access to global financial services” with 5 lines of code.

The company was founded by serial finTech entrepreneurs who previously founded successful and award winning companies like Evolution and Currency Cloud.

Since starting in 2016 in London the company has expanded across Europe, launched in Singapore and is currently extending capabilities in SE Asia, USA and Australia.

We are now scaling the company across Europe and SE Asia and looking for exceptional people who share the same core values to join team Railsbank.

The role

As Data Scientist you will be responsible for developing models of risk and risk scoring, analysis and reporting and predictive models for platform usage and behaviour expanding Railsbank’s ability to meet and exceed its regulatory obligations and also those of our customers.

You will also make assessments of externally provided risk services from our service partners and integrate those into our combined platform models of risk.

This position is based remotely with some travel to Railbank offices in Germany and Internationally when safe and as required. This role reports into the Chief Data Officer.

We are looking for you to:
Have experience with models of risk and risk scoring for financial transactions and related entities and be driven to become an expert in this field
Have developed understanding and working knowledge of machine learning models particularly experience with tree based model such as xgboost, clustering and graph analysis
Code literacy: comfortable working with data in Python or R - knowledge of pyspark a bonus
Can take a modelling problem, translate into target metrics, select methodology, conduct research both autonomously and collaboratively, empirically validate findings and propose a solution with value quantified in commercial terms
Take delight in data visualisations and communicating complex findings to non specialist stakeholders
Support the company’s Information Security Management System (ISMS) to ensure the Confidentiality, Integrity and Availability of the information that Railsbank manages. You will be expected to follow policies/procedures and work with the Data Protection Officer to ensure that obligations to data protection are met.

What we look for in your professional skills

You’re likely to be educated to degree level or equivalent, with excellent communication skills (across all media) and possess the ability to ‘get things done’ in a flexible dynamic organisation. You will be an expert in your field.

What we look for in our team members and our values

Being an integral part of the Railsbank team and sharing our values is important to us.

The environment at Railsbank is fast-paced, exciting, and dynamic. It suits people that love to collaborate and support one-another.

We are all driven by the same values and are looking to welcome new people to the team that share these values.

Our values are: excellence, accountability, work/life balance, trust, fun, inclusive, friendship, noble cause, and respect.

Equal Opportunities Employer: Railsbank is an Equal Opportunity Employer and does not discriminate on the basis of race, religion or belief, colour, sex or gender identity, sexual orientation, age, disability, national origin, marital status, or any other basis covered by appropriate law.

Due to the nature of our business, a pre-requisite of this role is satisfactory to us background checks on you, to help us safeguard our customers, endusers, and our team. By applying for this role, you are aware that this is a condition of an employment offer.",3.9,"Railsbank Technology Ltd
3.9",München,-1,51 to 200 Employees,2016,Company - Private,Finance,Financial Transaction Processing,Unknown / Non-Applicable,"Railsbank Technology Ltd
",4,1,0,1,0,1,0
Data Scientist,"The JetBrains Marketing Research Team is looking for a Data Scientist. We are engaged in a wide range of projects for our Product, Sales, and Marketing departments. For our research, we use various internal/external data sources and statistical analysis. Our goal is to supply our product, marketing, and sales teams with the necessary data to help them improve pricing and marketing strategies and make informed decisions about product changes.

As part of the team, our data scientists ensure that JetBrains makes sound financial decisions. You will be involved in exploring a range of different business models as the company grows.

You will:
Develop advanced financial models for sales prediction and pricing.
Evaluate the performance of our volume discounts and the special offers we have provided to customers and suggest improvements for maximizing revenues.
Evaluate the price sensitivity of different customer groups and regions and provide suggestions for improving the pricing policies.
Conduct research in order to answer questions about product prices, company revenue, and the effectiveness of sales and marketing activities.
Work closely with other analysts and company leaders to understand and shape key priorities.
Define and track meaningful metrics to support decision-making.
Develop and produce regular insightful reports as needed.
Report on the work done and make presentations of the results for research initiators.

Minimum qualifications:
Bachelor’s degree in business, finance or a related technical field, or equivalent practical experience.
Minimum 3 years of experience in the software, Internet, media or telecom industries.
Experience in financial analysis, including forecasting and valuations in a technical business.
Knowledge of mathematical statistics with practical experience in the application of statistical methods.
Strong knowledge of R or Python.
Good English proficiency (sufficient speaking and writing skills).

Preferred qualifications:
Master’s degree in business, finance or a related technical field.
Demonstrable knowledge of SQL.
Proven experience in developing effective forecasting models for pricing and financial processes.
Effective problem solving and advanced analytical and modeling skills, combined with impeccable business judgment and strategic thinking.
Strong written and verbal communication skills with a proven ability to engage with colleagues across company departments to achieve the best collaborative outcomes.

We offer:
Fascinating work in a friendly dynamic team.
Competitive salary.
Flexible working schedule.
25 working days of paid leave per year.
An office library with specialized work-related books and magazines.
Comfortable working environment, with ergonomic workplaces, fitness and leisure zones and a company-paid car park.
Excellent opportunity for professional and personal development, opportunity to travel to professional conferences worldwide.
Additional benefits including lunch, free refreshments and snacks in the office, and more.",4.6,"JetBrains s.r.o.
4.6",München,-1,501 to 1000 Employees,2000,Company - Private,Information Technology,Computer Hardware & Software,Unknown / Non-Applicable,"JetBrains s.r.o.
",20,1,0,0,0,1,1
Data Scientist,"What to expect

We are looking for an experienced Data Scientist to join our ambitious and growing Data Intelligence Team. In this role you will leverage your strong passion for understanding and modeling complex medical data to gain new insights and push the boundaries of software-supported medical procedures.

As a Data Scientist, you will
develop a deep understanding for medical data from multiple sources, including images, patient demographics, and treatment information
design, train and optimize algorithms to solve challenging data modeling tasks, thereby combining various data types in innovative ways
make use of state-of-the-art machine learning methods to extract information from big and diverse data sets
work together with clinical experts in order to identify relevant questions, challenge your findings and evaluate their impact on real-world medical environments
What you offer
Education in mathematics, physics, computer science or similar
Profound experience in modeling complex data, ideally in the medical field
Strong analytical, mathematical background and interest, allowing you to understand modern machine learning methods in all their details and making you eager to adapt and further develop these methods in your daily work
Ideally, experience in image processing
Strong background in using the Python ecosystem for efficient prototyping of your ideas, combined with a passion for and initial experience in (object-oriented) programming
Eagerness to be part of a high-skilled, dynamic team where your talent is both challenged and supported
Fluency in English, some knowledge of German (or willingness to learn) is a plus
What we offer
Centrally located, modern work spaces
30 days of vacation, plus 24.12. and 31.12.
Flexible working hours
Free gym courses with showers and changing rooms
Secure bicycle storage room
Unlimited coffee, tea and bottled water
Restaurant and coffee shop on-site
Regular after-work, team & company events
Sheltered terrace on the Bavarian Towers
International team of supportive colleagues
Comprehensive training and continuing education opportunities
Interested? Then we are looking forward to receiving your online application!

Contact person: Géraldine Endres",4.1,"Brainlab AG
4.1",München,-1,1001 to 5000 Employees,1989,Company - Private,Health Care,Health Care Services & Hospitals,$100 to $500 million (USD),"Brainlab AG
",31,1,0,0,0,0,0
